profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,classification
True,True,221,1572,7.081081,164,False,False,True,False,71,143.28,223,64,41.857417,1752.043333,0.186966,30.84,735,0,146.711645,21524.306667,4.693643,415088.416667,2068815,946,562819.754517,316766076075.12317,1.642767,False
True,False,3467,77,0.022203,16,False,False,False,False,0,1.875,7,0,2.526526,6.383333,1.27197,0.0625,1,0,0.25,0.0625,3.614784,3331285.866667,41556646,8,10794385.93425,116518767697530.69,3.262791,False
True,False,2688,22,0.008181,6,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,6727,68,0.010107,7,False,False,False,False,0,4.428571,12,1,3.690399,13.619048,1.35173,0.428571,2,0,0.786796,0.619048,1.357727,5,6,4,0.632456,0.4,0,False
True,False,6122,56,0.009146,7,False,False,False,False,0,1.285714,5,0,1.704336,2.904762,1.705337,0.142857,1,0,0.377964,0.142857,2.041241,186.166667,1076,4,435.94973,190052.166667,1.788445,False
True,False,5043,48,0.009516,0,False,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,True,5442,1610,0.295793,74,False,False,False,False,17,18.48,59,8,9.921021,98.426667,2.799176,0.2,2,0,0.57735,0.333333,2.65165,962245.791667,2939537,37428,881332.720003,776747363348.52,0.773415,False
False,False,4957,38,0.007664,0,False,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,False
True,False,291,61,0.208904,4,False,False,False,False,1,13,16,7,4.082483,16.666667,-1.018234,0,0,0,0,0,0,580311.333333,727071,320952,225260.236705,50742174240.33333,-0.688857,False
True,False,268,369,1.371747,37,False,False,False,False,1,27.72,74,11,14.618823,213.71,1.563669,0.84,6,0,1.518771,2.306667,2.460234,1112422.166667,12603888,631,2506813.483268,6284113839895.189,4.25215,False
